# z mu_apparent dmu
1.124000 25.406618 0.209719
0.552000 23.496163 0.135657
0.671000 23.809347 0.147584
0.511000 23.394132 0.128262
1.030000 25.134153 0.132285
0.012063 14.180301 0.100844
0.013898 14.629046 0.157123
0.017334 15.641298 0.128535
0.018380 15.426246 0.116831
0.016162 15.400682 0.155787
0.017892 15.481013 0.196962
0.019859 15.494457 0.165717
0.014460 14.729232 0.089565
0.016485 15.274557 0.066929
0.024112 15.651656 0.071532
0.017334 15.617900 0.121772
0.012086 14.406991 0.093833
0.020023 15.095837 0.091744
0.015815 15.274207 0.081717
0.022318 16.118196 0.066051
0.022826 15.662824 0.150172
0.011729 14.398862 0.120743
0.029472 16.664738 0.074787
0.016172 15.316503 0.070073
0.011122 14.831084 0.092122
0.010462 14.210502 0.094730
0.014254 14.822146 0.115920
0.015789 15.873006 0.082310
0.016930 14.288794 0.079170
0.019711 15.726607 0.074642
0.014780 15.115504 0.096033
0.019587 15.761382 0.079894
0.016648 15.601320 0.065057
0.028795 16.593433 0.075843
0.021416 16.039428 0.076394
0.020962 15.953621 0.081749
0.014305 14.944789 0.099056
0.017937 15.481323 0.084919
0.018419 15.370130 0.075408
0.015426 15.072181 0.074170
0.019592 15.800632 0.074704
0.010418 14.448335 0.126813
0.016089 15.242452 0.083394
0.019510 15.660507 0.081845
0.018966 15.616589 0.079533
0.018888 15.687739 0.075045
0.013531 14.632056 0.079447
0.017802 16.122128 0.172875
0.016439 15.342995 0.077422
0.017920 15.613753 0.064764
0.018770 15.698522 0.080606
0.017130 15.512732 0.084955
0.018045 15.632808 0.080280
0.017532 15.495672 0.070753
0.014825 14.786053 0.067963
0.010674 15.723531 0.097165
0.014398 14.994726 0.069834
0.010828 14.163120 0.093790
0.017558 15.134436 0.075061
0.015472 14.930698 0.082912
0.015013 15.226684 0.068885
0.015360 14.836554 0.075446
0.016051 15.366816 0.073061
0.017024 15.138133 0.063363
0.023495 16.062278 0.073234
0.014385 14.693631 0.081617
0.020575 15.408261 0.060456
0.010448 14.525270 0.073503
0.017538 15.440266 0.068493
0.017505 14.579533 0.075219
0.015300 15.198470 0.078166
0.018318 15.919091 0.072662
0.015292 15.705486 0.121418
0.016666 15.415092 0.084899
0.017203 14.953184 0.070757
0.013694 15.057029 0.077387
0.012991 15.116148 0.121779
0.022023 15.957714 0.067034
0.017980 15.685971 0.071495
0.017642 15.174147 0.101975
